iter	Passed	Remaining
0	97	97864
1	126	63137
2	175	58299
3	216	54008
4	248	49496
5	287	47614
6	322	45715
7	350	43430
8	403	44467
9	488	48389
10	530	47686
11	640	52724
12	691	52538
13	779	54872
14	852	55994
15	921	56662
16	961	55602
17	1003	54723118	1053	54411919	1098	53842020	1139	53132121	1181	525122	1199	50963
23	1245	50665
24	1286	50176
25	1325	49660
26	1361	49063
27	1396	48477
28	1437	48122
29	1477	47768
30	1516	47410
31	1554	47028
32	1587	46522
3333	1653	46983434	1697	46813535	1729	46323636	1770	46083737	1805	45703838	1834	45203939	1867	44814040	1903	44524141	1944	44344242	1981	44104
43	2016	43804444	2049	43497
45	2082	43180446	2116	42914447	2147	42593448	2184	42399449	2232	42413
50	2272	42295
51	2314	42191
52	2357	42131
53	2394	41941
54	2428	41733
55	2469	41625556	2511	41542557	2560	41591558	2608	41601559	2644	41430660	2678	41225661	2716	41105662	2749	40892663	2790	40808664	2830	40714665	2878	40733666	2923	40705667	2964	40628668	2998	40453669	3039	40375770	3081	40324771	3122	40243772	3152	40033773	3189	39905774	3233	39884775	3281	39894776	3346	40117777	3421	40446778	3481	40592779	3523	40523880	3572	40536881	3618	40509882	3647	40295883	3679	40124884	3709	39935885	3741	39766886	3773	39599887	3802	39405888	3834	39250889	3868	39112990	3919	39155991	3957	39059992	3997	38986993	4038	38927994	4076	38830
95	4115	38753
96	4143	38570997	4174	38426
98	4209	38306
99	4238	38146
100	4270	38009
101	4304	37892
102	4332	37727
103	4362	37584
104	4400	37511
105	4449	37524
106	4489	37471
107	4520	37332
108	4551	37206
109	4583	37087
110	4612	36942
111	4654	36901
112	4687	36795
113	4716	36659
114	4747	36535
115	4780	36427
116	4816	36350
117	4848	36240
118	4890	36208
119	4927	36133
120	4976	36154
121	5017	36106
122	5054	36039
123	5090	35961
124	5123	35862
125	5160	35796
126	5196	35717
127	5244	35729
128	5283	35676
129	5313	35558
130	5343	35448
131	5371	35320
132	5401	35209
133	5445	35192
134	5485	35147
135	5524	35097
136	5561	35035
137	5593	34938
138	5629	34870
139	5668	34821
140	5706	34765
141	5755	34773
142	5800	34759
143	5849	34771
144	5887	34713
145	5923	34647
146	5955	34557
147	5992	34497
148	6034	34462
149	6061	34350
150	6096	34275
151	6136	34234
152	6184	34238
153	6231	34230
154	6266	34162
155	6295	34062
156	6333	34005
157	6377	33986
158	6416	33936
159	6458	33907
160	6504	33893
161	6557	33920
162	6600	33891
163	6647	33885
164	6678	33796
165	6714	33736
166	6749	33668
167	6786	33611
168	6818	33526
169	6863	33507
170	6917	33534
171	6953	33475
172	7004	33481
173	7086	33640
174	7138	33651
175	7189	33661
176	7246	33696
177	7285	33646
178	7334	33638
179	7405	33737
180	7454	33729
181	7524	33818
182	7567	33783
183	7613	33764
184	7651	33708
185	7690	33656
186	7732	33617
187	7767	33547
188	7790	33427
189	7830	33382
190	7860	33295
191	7903	33262
192	7945	33224
193	7990	33197
194	8029	33145
195	8064	33082
196	8106	33043
197	8145	32992
198	8188	32961
199	8222	32891
200	8259	32834
201	8290	32749
202	8334	32720
203	8375	32679
204	8417	32641
205	8455	32588
206	8485	32505
207	8537	32509
208	8578	32465
209	8615	32409
210	8667	32409
211	8708	32369
212	8775	32423
213	8837	32459
214	8881	32426
215	8940	32451
216	8986	32426
217	9028	32387
218	9081	32388
219	9136	32393
220	9185	32376
221	9259	32451
222	9307	32428
223	9393	32541
224	9432	32490
225	9472	32440
226	9521	32422
227	9574	32419
228	9642	32463
229	9701	32480
230	9760	32491
231	9795	32425
232	9842	32400
233	9916	32462
234	9954	32406
235	10003	32383
236	10041	32329
237	10075	32258
238	10110	32193
239	10150	32143
240	10216	32175
241	10276	32186
242	10322	32157
243	10368	32126
244	10428	32135
245	10470	32092
246	10514	32054
247	10582	32089
248	10634	32073
249	10692	32078
250	10739	32046
251	10775	31984
252	10808	31912
253	10849	31865
254	10900	31846
255	10956	31842
256	10997	31795
257	11031	31727
258	11071	31676
259	11103	31601
260	11160	31599
261	11211	31581
262	11270	31583
263	11319	31558
264	11368	31531
265	11440	31568
266	11516	31615
267	11589	31654
268	11636	31623
269	11672	31558
270	11713	31510
271	11746	31439
272	11788	31392
273	11831	31348
274	11871	31296
275	11917	31261
276	11980	31271
277	12071	31350
278	12143	31381
279	12270	31552
280	12340	31575
281	12405	31584
282	12445	31531
283	12481	31467
284	12520	31411
285	12560	31358
286	12593	31286
287	12638	31246
288	12666	31163
289	12694	31078
290	12720	30991
291	12780	30987
292	12827	30953
293	12872	30910
294	12932	30907
295	13068	31081
296	13194	31230
297	13244	31199
298	13307	31200
299	13390	31243
300	13450	31235
301	13514	31236
302	13588	31258
303	13632	31210
304	13668	31146
305	13707	31087
306	13757	31054
307	13823	31057
308	13869	31014
309	13904	30949
310	13938	30880
311	13970	30806
312	14002	30734
313	14035	30662
314	14066	30589
315	14101	30523
316	14158	30505
317	14202	30459
318	14246	30413
319	14285	30357
320	14323	30296
321	14355	30227
322	14384	30149
323	14419	30084
324	14452	30016
325	14489	29955
326	14536	29918
327	14568	29846
328	14599	29775
329	14634	29713
330	14661	29632
331	14690	29557
332	14721	29487
333	14754	29420
334	14793	29365
335	14846	29338
336	14891	29297
337	14929	29240
338	14958	29167
339	15002	29122
340	15041	29068
341	15083	29019
342	15125	28971
343	15170	28928
344	15208	28874
345	15247	28820
346	15312	28816
347	15361	28780
348	15405	28735
349	15442	28678
350	15482	28627
351	15528	28587
352	15560	28519
353	15600	28468
354	15630355	157355	15671	28350
356	15711	28297
357	15743	28232
358	15778	28172
359	15811	28109
360	15846361	159361	15884	27994
362	15915	27928
363	15949	27867
364	15987	27813
365	16020	27750
366	16052	27687
367	16086	27627
368	16116	27559
369	16151	27501
370	16183	27438
371	16255	27442
372	16310	27418
373	16346	27360
374	16383	27305
375	16418	27248
376	16457	27195
377	16492	27138
378	16532	27088
379	16559	27017
380	16590	26954
381	16622	26891
382	16652	26826
383	16680	26759
384	16709	26691
385	16737	26624
386	16777	26575
387	16814	26521
388	16864	26488
389	16906	26443
390	16941	26387
391	16986	26347
392	17039	26318
393	17139	26362
394	17191	26332
395	17229	26279
396	17266	26226
397	17305	26176
398	17346	26128
399	17383	26075
400	17416	26016
401	17447	25953
402	17483	25900
403	17518	25843
404	17552	25786
405	17583	25725
406	17612	25662
407	17650	25611
408	17681	25549
409	17711	25486
410	17760	25452
411	17820	25432
412	17923	25474
413	17964	25427
414	17998	25371
415	18031	25313
416	18074	25269
417	18122	25232
418	18177	25205
419	18218	25158
420	18267	25122
421	18305	25073
422	18348	25029
423	18394	24988
424	18428	24933
425	18471	24888
426	18516	24847
427	18560	24804
428	18598	24755
429	18636	24704
430	18676	24656
431	18706	24595
432	18745	24546
433	18793	24509
434	18835	24464
435	18880	24423
436	18916	24370
437	18950	24315
438	18989	24267
439	19031	24221
440	19081	24187
441	19118	24136
442	19158	24088
443	19205	24049
444	19240	23996
445	19280	23949
446	19319	23901
447	19353	23846
448	19390	23795
449	19418	23733
450	19449	23675
451	19490	23630
452	19521	23571
453	19557	23520
454	19603	23481
455	19638	23428
456	19677	23380
457	19729	23347
458	19792	23328
459	19837	23287
460	19871	23233
461	19916	23192
462	19948	23137
463	19982	23083
464	20020	23033
465	20074	23004
466	20128	22973
467	20175	22934
468	20220	22894
469	20270	22858
470	20321	22823
471	20388	22807
472	20450	22785
473	20494	22743
474	20552	22716
475	20602	22680
476	20650	22642
477	20713	22620
478	20769	22590
479	20823	22558
480	20876	22526
481	20925	22488
482	20986	22463
483	21030	22420
484	21064	22367
485	21110	22326
486	21157	22286
487	21189	22231
488	21226	22181
489	21283	22152
490	21324	22106
491	21366	22061
492	21413	22021
493	21458	21979
494	21497	21932
495	21534	21881
496	21569	21829
497	21606	21780
498	21635	21722
499	21664	21664
500	21694	21608
501	21728	21555
502	21766	21507
503	21811	21465
504	21862	21429
505	21900	21381
506	21945	21339
507	22021	21328
508	22083	21302
509	22141	21273
510	22193	21238
511	22253	21210
512	22326	21195
513	22385	21166
514	22439	21132
515	22540	21142
516	22579	21094
517	22621	21049
518	22661	21002
519	22704	20957
520	22756	20921
521	22798	20876
522	22847	20837
523	22883	20787
524	22921	20738
525	22952	20683
526	23000	20643
527	23049	20605
528	23095	20562
529	23139	20519
530	23184	20477
531	23217	20424
532	23252	20373
533	23295	20328
534	23342	20288
535	23384	20243
536	23414	20187
537	23451	20138
538	23487	20088
539	23536	20049
540	23580	20006
541	23622	19961
542	23652	19906
543	23684	19853
544	23714	19798
545	23756	19753
546	23795	19706
547	23837	19661
548	23875	19613
549	23947	19593
550	23997	19555
551	24030	19503
552	24081	19465
553	24125	19421
554	24161	19372
555	24210	19333
556	24233	19273
557	24260	19216
558	24286	19159
559	24309	19100
560	24336	19044
561	24364	18988
562	24394	18934
563	24419	18877
564	24446	18821
565	24472	18765
566	24499	18709
567	24524	18652
568	24551	18597
569	24576	18539
570	24647	18517
571	24733	18507
572	24827	18501
573	24906	18484
574	24991	18471
575	25070	18454
576	25169	18451
577	25209	18405
578	25282	18383
579	25325	18339
580	25364	18292
581	25416	18254
582	25468	18216
583	25516	18176
584	25564	18135
585	25601	18087
586	25635	18036
587	25670	17986
588	25698	17932
589	25740	17887
590	25778	17839
591	25826	17799
592	25856	17746
593	25883	17691
594	25918	17641
595	25958	17596
596	25989	17543
597	26037	17503
598	26073	17455
599	26126	17417
600	26161	17368
601	26198	17320
602	26238	17274
603	26275	17227
604	26304	17173
605	26353	17133
606	26389	17086
607	26428	17039
608	26456	16986
609	26488	16935
610	26514	16880
611	26546	16829
612	26581	16781
613	26613	16730
614	26642	16678
615	26674	16628
616	26723	16588
617	26767	16545
618	26802	16497
619	26844	16453
620	26879	16404
621	26945	16375
622	27037	16361
623	27078	16316
624	27120	16272
625	27158	16225
626	27201	16182
627	27238	16134
628	27307	16106
629	27334	16053
630	27367	16004
631	27399	15954
632	27436	15906
633	27471	15858
634	27511	15813
635	27544	15764
636	27571	15712
637	27595	15657
638	27624	15606
639	27650	15553
640	27678	15501
641	27719	15457
642	27749	15406
643	27778	15355
644	27812	15307
645	27839	15255
646	27871	15206
647	27901	15156
648	27929	15105
649	27966	15059
650	27999	15010
651	28031	14961
652	28067	14914
653	28098	14865
654	28138	14821
655	28171	14773
656	28213	14729
657	28246	14681
658	28291	14639
659	28347	14603
660	28385	14557
661	28419	14510
662	28459	14465
663	28491	14417
664	28541	14377
665	28586	14335
666	28624	14290
667	28672	14250
668	28703	14201
669	28738	14154
670	28771	14107
671	28805	14059
672	28838	14012
673	28873	13965
674	28907	13918
675	28950	13875
676	28981	13827
677	29009	13777
678	29040	13728
679	29079	13684
680	29118	13640
681	29159	13596
682	29217	13560
683	29278	13526
684	29330	13487
685	29377	13446
686	29418	13403
687	29465	13362
688	29506	13318
689	29545	13274
690	29576	13225
691	29608	13178
692	29644	13132
693	29675	13084
694	29709	13037
695	29742	12990
696	29775	12944
697	29805	12895
698	29840	12849
699	29873	12803
700	29906	12756
701	29940	12709
702	29971	12662
703	30004	12615
704	30043	12571
705	30075	12524
706	30106	12477
707	30141	12431
708	30185	12389
709	30234	12349
710	30274	12305
711	30310	12260
712	30351	12217
713	30390	12173
714	30432	12130
715	30473	12087
716	30513	12043
717	30543	11996
718	30579	11950
719	30607	11902
720	30641	11857
721	30672	11810
722	30707	11764
723	30736	11717
724	30766	11669
725	30796	11623
726	30829	11576
727	30859	11529
728	30897	11486
729	30929	11439
730	30972	11397
731	31016	11355
732	31056	11312
733	31096	11269
734	31141	11227
735	31177	11183
736	31251	11152
737	31297	11110
738	31334	11066
739	31387	11027
740	31426	10984
741	31468	10941
742	31522	10903
743	31589	10869
744	31632	10827
745	31674	10784
746	31713	10741
747	31748	10696
748	31789	10652
749	31855	10618
750	31905	10578
751	31959	10539
752	32001	10497
753	32040	10453
754	32077	10409
755	32112	10364
756	32157	10322
757	32219	10286
758	32271	10247
759	32317	10205
760	32356	10161
761	32387	10115
762	32419	10069
763	32449	10023
764	32482	9978
765	32511	9931
766	32546	9887
767	32581	9842
768	32626	9800
769	32665	9757
770	32699	9712
771	32728	9665
772	32767	9622
773	32803	9578
774	32838	9533
775	32874	9489
776	32911	9445
777	32943	9400
778	32972	9354
779	33021	9313
780	33066	9272
781	33115	9231
782	33158	9189
783	33198	9146
784	33226	9100
785	33260	9055
786	33292	9010
787	33329	8966
788	33361	8921
789	33395	8877
790	33424	8831
791	33458	8787
792	33495	8743
793	33523	8697
794	33554	8652
795	33593	8609
796	33627	8565
797	33672	8523
798	33710	8480
799	33758	8439
800	33805	8398
801	33839	8354
802	33869	8309
803	33896	8263
804	33926	8218
805	33958	8173
806	33993	8129
807	34022	8084
808	34051	8039
809	34089	7996
810	34122	7952
811	34157	7908
812	34198	7866
813	34237	7823
814	34275	7780
815	34306	7735
816	34339	7691
817	34369	7646
818	34396	7601
819	34427	7557
820	34469	7515
821	34508	7472
822	34548	7430
823	34581	7386
824	34618	7343
825	34650	7299
826	34687	7256
827	34722	7212
828	34761	7170
829	34797	7127
830	34838	7085
831	34877	7042
832	34911	6999
833	34945	6955
834	34984	6913
835	35026	6871
836	35070	6829
837	35122	6789
838	35160	6747
839	35212	6707
840	35257	6665
841	35307	6625
842	35348	6583
843	35392	6541
844	35432	6499
845	35469	6456
846	35524	6417
847	35569	6375
848	35628	6336
849	35673	6295
850	35711	6252
851	35750	6210
852	35784	6166
853	35814	6122
854	35848	6079
855	35892	6038
856	35938	5996
857	35983	5955
858	36022	5912
859	36063	5870
860	36098	5827
861	36140	5785
862	36187	5744
863	36229	5702
864	36273	5661
865	36320	5620
866	36349	5576
867	36385	5533
868	36419	5490
869	36462	5448
870	36508	5407
871	36573	5368
872	36619	5327
873	36656	5284
874	36706	5243
875	36774	5205
876	36824	5164
877	36859	5121
878	36902	5079
879	36938	5037
880	36984	4995
881	37023	4953
882	37075	4912
883	37129	4872
884	37163	4829
885	37195	4785
886	37227	4742
887	37258	4699
888	37292	4656
889	37329	4613
890	37359	4570
891	37384	4526
892	37409	4482
893	37433	4438
894	37458	4394
895	37482	4350
896	37509	4307
897	37542	4264
898	37568	4220
899	37592	4176
900	37612	4132
901	37634	4088
902	37658	4045
903	37682	4001
904	37709	3958
905	37732	3914
906	37752	3871
907	37776	3827
908	37798	3784
909	37822	3740
910	37858	3698
911	37885	3655
912	37916	3613
913	37940	3569
914	37960	3526
915	37981	3482
916	38001	3439
917	38021	3396
918	38042	3353
919	38063	3309
920	38084	3266
921	38104	3223
922	38123	3180
923	38142	3137
924	38161	3094
925	38181	3051
926	38203	3008
927	38226	2965
928	38249	2923
929	38269	2880
930	38295	2838
931	38322	2796
932	38348	2753
933	38373	2711
934	38393	2669
935	38413	2626
936	38435	2584
937	38453	2541
938	38472	2499
939	38495	2457
940	38514	2414
941	38532	2372
942	38554	2330
943	38574	2288
944	38593	2246
945	38613	2204
946	38634	2162
947	38654	2120
948	38674	2078
949	38693	2036
950	38714	1994
951	38733	1952
952	38753	1911
953	38775	1869
954	38796	1828
955	38813	1786
956	38828	1744
957	38845	1703
958	38862	1661
959	38881	1620
960	38898	1578
961	38914	1537
962	38930	1495
963	38947	1454
964	38961	1413
965	38975	1371
966	38989	1330
967	39005	1289
968	39019	1248
969	39036	1207
970	39052	1166
971	39065	1125
972	39078	1084
973	39091	1043
974	39103	1002
975	39118	961
976	39132	921
977	39145	880
978	39160	840
979	39174	799
980	39186	758
981	39198	718
982	39210	678
983	39222	637
984	39237	597
985	39249	557
986	39262	517
987	39275	477
988	39288	436
989	39300	396
990	39314	357
991	39326	317
992	39339	277
993	39351	237
994	39365	197
995	39377	158
996	39388	118
997	39401	78
998	39413	39
999	39425	0
